Job Title,Hourly/Fixed,Budget,Level,Skills
Netsuite Customization with PrintNode,Hourly,N/A,Intermediate,"NetSuite Development, Scripting, Oracle NetSuite, SuiteScript, API"
Facebook Marketplace Auto-Responder Development,Fixed price,"Est. budget:
$250.00",Intermediate,"Web Development, PHP, API, JavaScript, Facebook"
SharePoint Website Development,Hourly,N/A,Intermediate,"Web Development, Microsoft SharePoint Development, HTML5, JavaScript, CSS"
Updates and new additions needed for MODX website,Hourly,N/A,Intermediate,"PHP, Web Design, Shopify, Google Maps API, Web Hosting, API, WordPress, CSS, HTML, +6"
Polylang Expert - Wordpress / Gutenverse,Hourly: $10.00 - $25.00,N/A,Expert,WordPress
HIRING: Fullstack developer Java - Spring Boot + Angular - TypeScript,Fixed price,"Est. budget:
$5,000.00",Expert,"Angular, TypeScript, GitLab, CSS 3, HTML5, Java, MongoDB, Spring Boot"
U.S. Based Marketing Agency searching for skilled Full Stack Developer,Hourly: $15.00 - $32.00,N/A,Intermediate,"Web Development, Front-End Development, Back-End Development, WordPress, Web Design, CSS, HTML, +1"
Gaming App Developer,Hourly,N/A,Expert,"Mobile App Development, App Development, User Authentication, In-App Purchases"
Android Application Developer with C++ Expertise,Hourly,N/A,Intermediate,"Android App Development, Android, C#, C++, Java"
Python Developer Needed for Automating Anonymization of Real Estate Broker Opinion of Values (BOVs),Hourly: $10.00 - $20.00,N/A,Intermediate,"Python, Microsoft PowerPoint, Natural Language Processing, Natural Language Generation"
WordPress Website Redesign & Salesforce Integration,Fixed price,"Est. budget:
$50,000.00",Intermediate,"Web Development, WordPress, CSS, HTML, JavaScript"
Graphic Workflow Engine Development,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Web Development, .NET Framework, C#, Web Design, Graphics Programming"
Wordpress Testimonial Page Design,Fixed price,"Est. budget:
$10.00",Entry Level,"Web Development, Adobe Illustrator, Graphic Design, Adobe Photoshop, WordPress, Web Design, +4"
Fullstack Developer,Hourly: $25.00 - $90.00,N/A,Expert,"React, Tailwind CSS, Ruby on Rails, API"
Shopify Expert,Fixed price,"Est. budget:
$10.00",Expert,"Web Development, Ecommerce Website, Shopify, Shopify Templates, Shopify Theme, Web Design, +2"
Web Crawler Development - Two Crawlers Needed,Hourly,N/A,Intermediate,"Python, Data Scraping, Web Crawling, PHP"
Backend developer to fix a Node.js Typescript Pyodide library loading issue,Fixed price,"Est. budget:
$110.00",Intermediate,"Node.js, TypeScript, JavaScript"
HubSpot Customer Portal with Document Generation and CMS Integration,Hourly: $20.00 - $60.00,N/A,Expert,"Form Development, CRM Development, HubSpot, Customer Portal, Document Automation"
Revamp Shopify Store Header for Enhanced User Experience,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, Web Design, Graphic Design, Adobe Photoshop"
Custom Dynamic JSON Endpoints,Hourly: $15.00 - $35.00,N/A,Intermediate,"REST API, JSON, DigitalOcean, Node.js"
Full Stack Engineer with Marketplace Experience Needed,Hourly: $20.00 - $25.00,N/A,Intermediate,"Web Development, Laravel, AngularJS, OpenAI API, Docker, Amazon Web Services, API, PHP, +1"
🎸Rockstar to Setup Telnyx and Messaging System🎸,Hourly: $35.00 - $75.00,N/A,Expert,Twilio API
Web project - landing page requested,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, WordPress, Web Design"
Nest JS Developer for Fintech Application,Hourly: $12.00 - $20.00,N/A,Intermediate,"NestJS Development, API, JavaScript"
Microsoft Fabric Cloud Engineer : Ingest - Transform - Save data into Lakehouse from Cloud Platforms,Hourly: $15.00 - $35.00,N/A,Intermediate,
WordPress Houzez Theme Customization Expert Needed,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, PHP, CSS, JavaScript"
Experienced and reliable Shopify developer to join our team,Fixed price,"Est. budget:
$200.00",Expert,"Web Development, Landing Page, Bug Fix, Responsive Design, Shopify, HTML, JavaScript, +3"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
E-commerce Website Migration from WooCommerce to Shopify,Hourly,N/A,Intermediate,"Ecommerce Website Development, Web Development, WooCommerce, Shopify, Ecommerce Website"
Scraping Tool Development,Fixed price,"Est. budget:
$150.00",Intermediate,"Automation, Data Extraction, Google Sheets Automation, Spreadsheet Automation, Scripting, Data Scraping, +2"
Control4 Home System Programmer,Hourly: $70.00 - $125.00,N/A,Expert,Control4
Create a 1-Page Website and Hosting Advice,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, PHP"
Development of website for startup,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Web Design, JavaScript, Lead Generation"
Website Migration Specialist Needed for Quick Transition,Hourly: $25.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Shopify, Web Design, Data Entry"
"I need help developing a gay dating app or website called ""Out and About"". I would like to model it directly like the sniffies.com website.",Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, Web Design, Graphic Design, Android, iOS"
N8n project,Hourly: $15.00 - $30.00,N/A,Intermediate,"n8n, Google Search API, Google Search Console"
Looking for tracking pixel dev to integrate checkout champ and shopify store to applovin,Hourly: $20.00 - $40.00,N/A,Expert,"Tracking Pixel, Shopify"
Shopify Site Development for In-House Sticker Sales,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Graphic Design, Shopify, Web Design, Adobe Photoshop"
Frontend Developer,Fixed price,"Est. budget:
$5.00",Entry Level,"Front-End Development, Web Development, HTML, CSS, JavaScript, Landing Page, Web Application"
Build framer website for my Media Agency Using Template,Fixed price,"Est. budget:
$175.00",Intermediate,"Web Development, Web Design"
Shopify Expert Needed for Color Swatches and Theme Restoration,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, CSS, Shopify Theme, Shopify Templates, Ecommerce Website"
Google API Expert to help with Search Data Analysis Tool,Hourly: $40.00 - $120.00,N/A,Expert,"Data Visualization, Google APIs, Google Ads, PHP, Python, Data Scraping"
Single Page Mobile Screen UI Development using React Native,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Native App Development, React, Smartphone, CSS, React Native, Android, +3"
Need a Front End Developer / Web Designer | CSS | HTML,Hourly: $10.00 - $20.00,N/A,Expert,"HTML5, CSS 3, Web Design, Magento 2, HTML, CSS"
TikTok Shop Expert Needed for Shopify Integration,Hourly,N/A,Expert,"Shopify Development, Web Development, Ecommerce Website Development, Shopify, TikTok"
Klaviyo Setup and Shopify Integration Expert Needed,Hourly,N/A,Intermediate,"Shopify, Klaviyo, Shopify Templates, Email Campaign Setup, Email Marketing"
Ios automation development,Hourly: $150.00 - $250.00,N/A,Expert,"iOS Development, Web Development, iOS, JavaScript, Apple Xcode, Automation"
Netsuite Customization with PrintNode,Hourly,N/A,Intermediate,"NetSuite Development, Scripting, Oracle NetSuite, SuiteScript, API"
Facebook Marketplace Auto-Responder Development,Fixed price,"Est. budget:
$250.00",Intermediate,"Web Development, PHP, API, JavaScript, Facebook"
SharePoint Website Development,Hourly,N/A,Intermediate,"Web Development, Microsoft SharePoint Development, HTML5, JavaScript, CSS"
Updates and new additions needed for MODX website,Hourly,N/A,Intermediate,"PHP, Web Design, Shopify, Google Maps API, Web Hosting, API, WordPress, CSS, HTML, +6"
Polylang Expert - Wordpress / Gutenverse,Hourly: $10.00 - $25.00,N/A,Expert,WordPress
HIRING: Fullstack developer Java - Spring Boot + Angular - TypeScript,Fixed price,"Est. budget:
$5,000.00",Expert,"Angular, TypeScript, GitLab, CSS 3, HTML5, Java, MongoDB, Spring Boot"
U.S. Based Marketing Agency searching for skilled Full Stack Developer,Hourly: $15.00 - $32.00,N/A,Intermediate,"Web Development, Front-End Development, Back-End Development, WordPress, Web Design, CSS, HTML, +1"
Gaming App Developer,Hourly,N/A,Expert,"Mobile App Development, App Development, User Authentication, In-App Purchases"
Android Application Developer with C++ Expertise,Hourly,N/A,Intermediate,"Android App Development, Android, C#, C++, Java"
Python Developer Needed for Automating Anonymization of Real Estate Broker Opinion of Values (BOVs),Hourly: $10.00 - $20.00,N/A,Intermediate,"Python, Microsoft PowerPoint, Natural Language Processing, Natural Language Generation"
WordPress Website Redesign & Salesforce Integration,Fixed price,"Est. budget:
$50,000.00",Intermediate,"Web Development, WordPress, CSS, HTML, JavaScript"
Graphic Workflow Engine Development,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Web Development, .NET Framework, C#, Web Design, Graphics Programming"
Wordpress Testimonial Page Design,Fixed price,"Est. budget:
$10.00",Entry Level,"Web Development, Adobe Illustrator, Graphic Design, Adobe Photoshop, WordPress, Web Design, +4"
Fullstack Developer,Hourly: $25.00 - $90.00,N/A,Expert,"React, Tailwind CSS, Ruby on Rails, API"
Shopify Expert,Fixed price,"Est. budget:
$10.00",Expert,"Web Development, Ecommerce Website, Shopify, Shopify Templates, Shopify Theme, Web Design, +2"
Web Crawler Development - Two Crawlers Needed,Hourly,N/A,Intermediate,"Python, Data Scraping, Web Crawling, PHP"
Backend developer to fix a Node.js Typescript Pyodide library loading issue,Fixed price,"Est. budget:
$110.00",Intermediate,"Node.js, TypeScript, JavaScript"
HubSpot Customer Portal with Document Generation and CMS Integration,Hourly: $20.00 - $60.00,N/A,Expert,"Form Development, CRM Development, HubSpot, Customer Portal, Document Automation"
Revamp Shopify Store Header for Enhanced User Experience,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, Web Design, Graphic Design, Adobe Photoshop"
Custom Dynamic JSON Endpoints,Hourly: $15.00 - $35.00,N/A,Intermediate,"REST API, JSON, DigitalOcean, Node.js"
Full Stack Engineer with Marketplace Experience Needed,Hourly: $20.00 - $25.00,N/A,Intermediate,"Web Development, Laravel, AngularJS, OpenAI API, Docker, Amazon Web Services, API, PHP, +1"
🎸Rockstar to Setup Telnyx and Messaging System🎸,Hourly: $35.00 - $75.00,N/A,Expert,Twilio API
Web project - landing page requested,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, WordPress, Web Design"
Nest JS Developer for Fintech Application,Hourly: $12.00 - $20.00,N/A,Intermediate,"NestJS Development, API, JavaScript"
Microsoft Fabric Cloud Engineer : Ingest - Transform - Save data into Lakehouse from Cloud Platforms,Hourly: $15.00 - $35.00,N/A,Intermediate,
WordPress Houzez Theme Customization Expert Needed,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, PHP, CSS, JavaScript"
Experienced and reliable Shopify developer to join our team,Fixed price,"Est. budget:
$200.00",Expert,"Web Development, Landing Page, Bug Fix, Responsive Design, Shopify, HTML, JavaScript, +3"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
E-commerce Website Migration from WooCommerce to Shopify,Hourly,N/A,Intermediate,"Ecommerce Website Development, Web Development, WooCommerce, Shopify, Ecommerce Website"
Scraping Tool Development,Fixed price,"Est. budget:
$150.00",Intermediate,"Automation, Data Extraction, Google Sheets Automation, Spreadsheet Automation, Scripting, Data Scraping, +2"
Control4 Home System Programmer,Hourly: $70.00 - $125.00,N/A,Expert,Control4
Create a 1-Page Website and Hosting Advice,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, PHP"
Development of website for startup,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Web Design, JavaScript, Lead Generation"
Website Migration Specialist Needed for Quick Transition,Hourly: $25.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Shopify, Web Design, Data Entry"
"I need help developing a gay dating app or website called ""Out and About"". I would like to model it directly like the sniffies.com website.",Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, Web Design, Graphic Design, Android, iOS"
N8n project,Hourly: $15.00 - $30.00,N/A,Intermediate,"n8n, Google Search API, Google Search Console"
Looking for tracking pixel dev to integrate checkout champ and shopify store to applovin,Hourly: $20.00 - $40.00,N/A,Expert,"Tracking Pixel, Shopify"
Shopify Site Development for In-House Sticker Sales,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Graphic Design, Shopify, Web Design, Adobe Photoshop"
Frontend Developer,Fixed price,"Est. budget:
$5.00",Entry Level,"Front-End Development, Web Development, HTML, CSS, JavaScript, Landing Page, Web Application"
Build framer website for my Media Agency Using Template,Fixed price,"Est. budget:
$175.00",Intermediate,"Web Development, Web Design"
Shopify Expert Needed for Color Swatches and Theme Restoration,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, CSS, Shopify Theme, Shopify Templates, Ecommerce Website"
Google API Expert to help with Search Data Analysis Tool,Hourly: $40.00 - $120.00,N/A,Expert,"Data Visualization, Google APIs, Google Ads, PHP, Python, Data Scraping"
Single Page Mobile Screen UI Development using React Native,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Native App Development, React, Smartphone, CSS, React Native, Android, +3"
Need a Front End Developer / Web Designer | CSS | HTML,Hourly: $10.00 - $20.00,N/A,Expert,"HTML5, CSS 3, Web Design, Magento 2, HTML, CSS"
TikTok Shop Expert Needed for Shopify Integration,Hourly,N/A,Expert,"Shopify Development, Web Development, Ecommerce Website Development, Shopify, TikTok"
Klaviyo Setup and Shopify Integration Expert Needed,Hourly,N/A,Intermediate,"Shopify, Klaviyo, Shopify Templates, Email Campaign Setup, Email Marketing"
Ios automation development,Hourly: $150.00 - $250.00,N/A,Expert,"iOS Development, Web Development, iOS, JavaScript, Apple Xcode, Automation"
Netsuite Customization with PrintNode,Hourly,N/A,Intermediate,"NetSuite Development, Scripting, Oracle NetSuite, SuiteScript, API"
Facebook Marketplace Auto-Responder Development,Fixed price,"Est. budget:
$250.00",Intermediate,"Web Development, PHP, API, JavaScript, Facebook"
SharePoint Website Development,Hourly,N/A,Intermediate,"Web Development, Microsoft SharePoint Development, HTML5, JavaScript, CSS"
Updates and new additions needed for MODX website,Hourly,N/A,Intermediate,"PHP, Web Design, Shopify, Google Maps API, Web Hosting, API, WordPress, CSS, HTML, +6"
Polylang Expert - Wordpress / Gutenverse,Hourly: $10.00 - $25.00,N/A,Expert,WordPress
HIRING: Fullstack developer Java - Spring Boot + Angular - TypeScript,Fixed price,"Est. budget:
$5,000.00",Expert,"Angular, TypeScript, GitLab, CSS 3, HTML5, Java, MongoDB, Spring Boot"
U.S. Based Marketing Agency searching for skilled Full Stack Developer,Hourly: $15.00 - $32.00,N/A,Intermediate,"Web Development, Front-End Development, Back-End Development, WordPress, Web Design, CSS, HTML, +1"
Gaming App Developer,Hourly,N/A,Expert,"Mobile App Development, App Development, User Authentication, In-App Purchases"
Android Application Developer with C++ Expertise,Hourly,N/A,Intermediate,"Android App Development, Android, C#, C++, Java"
Python Developer Needed for Automating Anonymization of Real Estate Broker Opinion of Values (BOVs),Hourly: $10.00 - $20.00,N/A,Intermediate,"Python, Microsoft PowerPoint, Natural Language Processing, Natural Language Generation"
WordPress Website Redesign & Salesforce Integration,Fixed price,"Est. budget:
$50,000.00",Intermediate,"Web Development, WordPress, CSS, HTML, JavaScript"
Graphic Workflow Engine Development,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Web Development, .NET Framework, C#, Web Design, Graphics Programming"
Wordpress Testimonial Page Design,Fixed price,"Est. budget:
$10.00",Entry Level,"Web Development, Adobe Illustrator, Graphic Design, Adobe Photoshop, WordPress, Web Design, +4"
Fullstack Developer,Hourly: $25.00 - $90.00,N/A,Expert,"React, Tailwind CSS, Ruby on Rails, API"
Shopify Expert,Fixed price,"Est. budget:
$10.00",Expert,"Web Development, Ecommerce Website, Shopify, Shopify Templates, Shopify Theme, Web Design, +2"
Web Crawler Development - Two Crawlers Needed,Hourly,N/A,Intermediate,"Python, Data Scraping, Web Crawling, PHP"
Backend developer to fix a Node.js Typescript Pyodide library loading issue,Fixed price,"Est. budget:
$110.00",Intermediate,"Node.js, TypeScript, JavaScript"
HubSpot Customer Portal with Document Generation and CMS Integration,Hourly: $20.00 - $60.00,N/A,Expert,"Form Development, CRM Development, HubSpot, Customer Portal, Document Automation"
Revamp Shopify Store Header for Enhanced User Experience,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, Web Design, Graphic Design, Adobe Photoshop"
Custom Dynamic JSON Endpoints,Hourly: $15.00 - $35.00,N/A,Intermediate,"REST API, JSON, DigitalOcean, Node.js"
Full Stack Engineer with Marketplace Experience Needed,Hourly: $20.00 - $25.00,N/A,Intermediate,"Web Development, Laravel, AngularJS, OpenAI API, Docker, Amazon Web Services, API, PHP, +1"
🎸Rockstar to Setup Telnyx and Messaging System🎸,Hourly: $35.00 - $75.00,N/A,Expert,Twilio API
Web project - landing page requested,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, WordPress, Web Design"
Nest JS Developer for Fintech Application,Hourly: $12.00 - $20.00,N/A,Intermediate,"NestJS Development, API, JavaScript"
Microsoft Fabric Cloud Engineer : Ingest - Transform - Save data into Lakehouse from Cloud Platforms,Hourly: $15.00 - $35.00,N/A,Intermediate,
WordPress Houzez Theme Customization Expert Needed,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, PHP, CSS, JavaScript"
Experienced and reliable Shopify developer to join our team,Fixed price,"Est. budget:
$200.00",Expert,"Web Development, Landing Page, Bug Fix, Responsive Design, Shopify, HTML, JavaScript, +3"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Web Designer with Webflow Expertise,Hourly,N/A,Expert,"Web Development, Website, Mockup, Prototyping, Visual Communication, UX Writing, Webflow, +3"
[$250] Track Expenses - Blank track expense details in Reports after clearing cache #54763 - Expensify,Fixed price,"Est. budget:
$250.00",Intermediate,
E-commerce Website Migration from WooCommerce to Shopify,Hourly,N/A,Intermediate,"Ecommerce Website Development, Web Development, WooCommerce, Shopify, Ecommerce Website"
Scraping Tool Development,Fixed price,"Est. budget:
$150.00",Intermediate,"Automation, Data Extraction, Google Sheets Automation, Spreadsheet Automation, Scripting, Data Scraping, +2"
Control4 Home System Programmer,Hourly: $70.00 - $125.00,N/A,Expert,Control4
Create a 1-Page Website and Hosting Advice,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, PHP"
Development of website for startup,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Web Design, JavaScript, Lead Generation"
Website Migration Specialist Needed for Quick Transition,Hourly: $25.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Shopify, Web Design, Data Entry"
"I need help developing a gay dating app or website called ""Out and About"". I would like to model it directly like the sniffies.com website.",Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, Web Design, Graphic Design, Android, iOS"
N8n project,Hourly: $15.00 - $30.00,N/A,Intermediate,"n8n, Google Search API, Google Search Console"
Looking for tracking pixel dev to integrate checkout champ and shopify store to applovin,Hourly: $20.00 - $40.00,N/A,Expert,"Tracking Pixel, Shopify"
Shopify Site Development for In-House Sticker Sales,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Graphic Design, Shopify, Web Design, Adobe Photoshop"
Frontend Developer,Fixed price,"Est. budget:
$5.00",Entry Level,"Front-End Development, Web Development, HTML, CSS, JavaScript, Landing Page, Web Application"
Build framer website for my Media Agency Using Template,Fixed price,"Est. budget:
$175.00",Intermediate,"Web Development, Web Design"
Shopify Expert Needed for Color Swatches and Theme Restoration,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, CSS, Shopify Theme, Shopify Templates, Ecommerce Website"
Google API Expert to help with Search Data Analysis Tool,Hourly: $40.00 - $120.00,N/A,Expert,"Data Visualization, Google APIs, Google Ads, PHP, Python, Data Scraping"
Single Page Mobile Screen UI Development using React Native,Fixed price,"Est. budget:
$100.00",Intermediate,"Mobile App Development, Native App Development, React, Smartphone, CSS, React Native, Android, +3"
Need a Front End Developer / Web Designer | CSS | HTML,Hourly: $10.00 - $20.00,N/A,Expert,"HTML5, CSS 3, Web Design, Magento 2, HTML, CSS"
TikTok Shop Expert Needed for Shopify Integration,Hourly,N/A,Expert,"Shopify Development, Web Development, Ecommerce Website Development, Shopify, TikTok"
Klaviyo Setup and Shopify Integration Expert Needed,Hourly,N/A,Intermediate,"Shopify, Klaviyo, Shopify Templates, Email Campaign Setup, Email Marketing"
Ios automation development,Hourly: $150.00 - $250.00,N/A,Expert,"iOS Development, Web Development, iOS, JavaScript, Apple Xcode, Automation"
Netsuite Customization with PrintNode,Hourly,N/A,Intermediate,"NetSuite Development, Scripting, Oracle NetSuite, SuiteScript, API"
Facebook Marketplace Auto-Responder Development,Fixed price,"Est. budget:
$250.00",Intermediate,"Web Development, PHP, API, JavaScript, Facebook"
SharePoint Website Development,Hourly,N/A,Intermediate,"Web Development, Microsoft SharePoint Development, HTML5, JavaScript, CSS"
Updates and new additions needed for MODX website,Hourly,N/A,Intermediate,"PHP, Web Design, Shopify, Google Maps API, Web Hosting, API, WordPress, CSS, HTML, +6"
Polylang Expert - Wordpress / Gutenverse,Hourly: $10.00 - $25.00,N/A,Expert,WordPress
HIRING: Fullstack developer Java - Spring Boot + Angular - TypeScript,Fixed price,"Est. budget:
$5,000.00",Expert,"Angular, TypeScript, GitLab, CSS 3, HTML5, Java, MongoDB, Spring Boot"
U.S. Based Marketing Agency searching for skilled Full Stack Developer,Hourly: $15.00 - $32.00,N/A,Intermediate,"Web Development, Front-End Development, Back-End Development, WordPress, Web Design, CSS, HTML, +1"
Gaming App Developer,Hourly,N/A,Expert,"Mobile App Development, App Development, User Authentication, In-App Purchases"
Android Application Developer with C++ Expertise,Hourly,N/A,Intermediate,"Android App Development, Android, C#, C++, Java"
Python Developer Needed for Automating Anonymization of Real Estate Broker Opinion of Values (BOVs),Hourly: $10.00 - $20.00,N/A,Intermediate,"Python, Microsoft PowerPoint, Natural Language Processing, Natural Language Generation"
WordPress Website Redesign & Salesforce Integration,Fixed price,"Est. budget:
$50,000.00",Intermediate,"Web Development, WordPress, CSS, HTML, JavaScript"
Graphic Workflow Engine Development,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Web Development, .NET Framework, C#, Web Design, Graphics Programming"
Wordpress Testimonial Page Design,Fixed price,"Est. budget:
$10.00",Entry Level,"Web Development, Adobe Illustrator, Graphic Design, Adobe Photoshop, WordPress, Web Design, +4"
Fullstack Developer,Hourly: $25.00 - $90.00,N/A,Expert,"React, Tailwind CSS, Ruby on Rails, API"
Shopify Expert,Fixed price,"Est. budget:
$10.00",Expert,"Web Development, Ecommerce Website, Shopify, Shopify Templates, Shopify Theme, Web Design, +2"
Web Crawler Development - Two Crawlers Needed,Hourly,N/A,Intermediate,"Python, Data Scraping, Web Crawling, PHP"
Backend developer to fix a Node.js Typescript Pyodide library loading issue,Fixed price,"Est. budget:
$110.00",Intermediate,"Node.js, TypeScript, JavaScript"
HubSpot Customer Portal with Document Generation and CMS Integration,Hourly: $20.00 - $60.00,N/A,Expert,"Form Development, CRM Development, HubSpot, Customer Portal, Document Automation"
Revamp Shopify Store Header for Enhanced User Experience,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, Web Design, Graphic Design, Adobe Photoshop"
Custom Dynamic JSON Endpoints,Hourly: $15.00 - $35.00,N/A,Intermediate,"REST API, JSON, DigitalOcean, Node.js"
Full Stack Engineer with Marketplace Experience Needed,Hourly: $20.00 - $25.00,N/A,Intermediate,"Web Development, Laravel, AngularJS, OpenAI API, Docker, Amazon Web Services, API, PHP, +1"
🎸Rockstar to Setup Telnyx and Messaging System🎸,Hourly: $35.00 - $75.00,N/A,Expert,Twilio API
Web project - landing page requested,Fixed price,"Est. budget:
$150.00",Intermediate,"Web Development, WordPress, Web Design"
Nest JS Developer for Fintech Application,Hourly: $12.00 - $20.00,N/A,Intermediate,"NestJS Development, API, JavaScript"
Microsoft Fabric Cloud Engineer : Ingest - Transform - Save data into Lakehouse from Cloud Platforms,Hourly: $15.00 - $35.00,N/A,Intermediate,
WordPress Houzez Theme Customization Expert Needed,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, PHP, CSS, JavaScript"
Experienced and reliable Shopify developer to join our team,Fixed price,"Est. budget:
$200.00",Expert,"Web Development, Landing Page, Bug Fix, Responsive Design, Shopify, HTML, JavaScript, +3"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
Senior Python Developer for an ongoing project,Hourly: $35.00 - $35.00,N/A,Intermediate,"Chatbot Development, Python, Django, FastAPI, AWS Application"
C# Developer (Desktop & Integration Focus),Hourly,N/A,Intermediate,"API Integration, C#, .NET Framework, SQL, Python"
[$250] Track Expenses - Blank track expense details in Reports after clearing cache #54763 - Expensify,Fixed price,"Est. budget:
$250.00",Intermediate,
E-commerce Website Migration from WooCommerce to Shopify,Hourly,N/A,Intermediate,"Ecommerce Website Development, Web Development, WooCommerce, Shopify, Ecommerce Website"
Scraping Tool Development,Fixed price,"Est. budget:
$150.00",Intermediate,"Automation, Data Extraction, Google Sheets Automation, Spreadsheet Automation, Scripting, Data Scraping, +2"
Control4 Home System Programmer,Hourly: $70.00 - $125.00,N/A,Expert,Control4
Create a 1-Page Website and Hosting Advice,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, PHP"
Development of website for startup,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Web Design, JavaScript, Lead Generation"
Website Migration Specialist Needed for Quick Transition,Hourly: $25.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Shopify, Web Design, Data Entry"
"I need help developing a gay dating app or website called ""Out and About"". I would like to model it directly like the sniffies.com website.",Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, Web Design, Graphic Design, Android, iOS"
N8n project,Hourly: $15.00 - $30.00,N/A,Intermediate,"n8n, Google Search API, Google Search Console"
Looking for tracking pixel dev to integrate checkout champ and shopify store to applovin,Hourly: $20.00 - $40.00,N/A,Expert,"Tracking Pixel, Shopify"
Shopify Site Development for In-House Sticker Sales,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Graphic Design, Shopify, Web Design, Adobe Photoshop"
Frontend Developer,Fixed price,"Est. budget:
$5.00",Entry Level,"Front-End Development, Web Development, HTML, CSS, JavaScript, Landing Page, Web Application"
Build framer website for my Media Agency Using Template,Fixed price,"Est. budget:
$175.00",Intermediate,"Web Development, Web Design"
Shopify Expert Needed for Color Swatches and Theme Restoration,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Shopify, CSS, Shopify Theme, Shopify Templates, Ecommerce Website"
Google API Expert to help with Search Data Analysis Tool,Hourly: $40.00 - $120.00,N/A,Expert,"Data Visualization, Google APIs, Google Ads, PHP, Python, Data Scraping"
